,ArretA15,ArretB15,Temps15,,,ArretA12,ArretB12,Temps12,,,ArretA14,ArretB14,Temps14,,,ArretA13,ArretB13,Temps13
,Nancy Gare,Poirel,4,,,HEILLECOURT,Vanoise,1,,,Ludres,Saint-Blaine,1,,,Maxeville EcoParc,Cuénot,1
,Poirel,Place Stanislas - Dom Calmet,2,,,Vanoise,Victor Hugo,1,,,Saint-Blaine,Ludres Gare,1,,,Cuénot,Nancy Pôle de santé,1
,Place Stanislas - Dom Calmet,Place Charles III - Point Central,1,,,Victor Hugo,Versailles,1,,,Ludres Gare,Collège Monod,1,,,Nancy Pôle de santé,Majorelle,1
,Place Charles III - Point Central,Quartier Saint-Nicolas,2,,,Versailles,Morlaix,2,,,Collège Monod,Ludres Mairie,2,,,Majorelle,Cèdre Bleu,2
,Quartier Saint-Nicolas,Place des Vosges,3,,,Morlaix,Chateaubriand,1,,,Ludres Mairie,Ecoles,1,,,Cèdre Bleu,Nancy Tilleul Argenté,1
,Place des Vosges,Saint-Julien,1,,,Chateaubriand,Parc Embanie,1,,,Ecoles,Secours,1,,,Nancy Tilleul Argenté,Les Aulnes,1
,Saint-Julien,Loritz,2,,,Parc Embanie,Temps Libre,1,,,Secours,Messein,1,,,Les Aulnes,Centre Pénitentiaire,1
,Loritz,Esplanade,2,,,Temps Libre,Emile Gallé,1,,,Messein,Frères Lumière,1,,,Centre Pénitentiaire,Stade Darnys,1
,Esplanade,Stade Matter,1,,,Emile Gallé,Heillecourt - Mairie,1,,,Frères Lumière,Eurydice,1,,,Stade Darnys,Zénith,1
,Stade Matter,Jean Jaurés,2,,,Heillecourt - Mairie,La Rotonde,2,,,Eurydice,Albâtre,1,,,Zénith,Cherveny,1
,Jean Jaurés,Pottier,1,,,La Rotonde,Léon Songeur,1,,,Albâtre,Ravel,1,,,Cherveny,Maxéville Mairie,1
,Pottier,Grande Haie,1,,,Léon Songeur,Sion,2,,,Ravel,Vert Village,1,,,Maxéville Mairie,André Vautrin,1
,Grande Haie,Leroux,3,,,Sion,Clemenceau,1,,,Vert Village,Ludres Cinéma,1,,,André Vautrin,Courbet,1
